google_and_truth_bleu_score,google_and_truth_gleu_score
0.9858120083502484,0.986013986013986
0.9080821798911972,0.9469026548672567
0.9464594399631753,0.9690721649484536
0.9414356817218077,0.9662921348314607
1.0,1.0
1.0,1.0
0.9143894476059354,0.9504132231404959
1.0,1.0
1.0,1.0
1.0,1.0
0.9665395661812441,0.9803921568627451
1.0,1.0
1.0,1.0
0.9581282631934457,0.975609756097561
1.0,1.0
1.0,1.0
0.9651424925716522,0.970873786407767
1.0,1.0
0.9063570877245087,0.9459459459459459
1.0,1.0
0.9646458712936792,0.9793103448275862
1.0,1.0
1.0,1.0
0.9345787966997318,0.9617834394904459
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9656187881844999,0.9798657718120806
0.9185787352601704,0.952755905511811
0.9257518071011758,0.9577464788732394
1.0,1.0
0.8787419089273848,0.9333333333333333
0.9574144657807024,0.9752066115702479
0.9669816961515574,0.9806451612903225
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9211506631805882,0.9541984732824428
1.0,1.0
0.9783975498178012,0.9872340425531915
1.0,1.0
1.0,1.0
0.8394327083733336,0.9142857142857143
0.9636162552773174,0.9787234042553191
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9674122890261669,0.9808917197452229
1.0,1.0
1.0,1.0
1.0,1.0
0.8895260356363631,0.9387755102040817
0.8843865924896842,0.9361702127659575
1.0,1.0
1.0,1.0
1.0,1.0
0.988021791350754,0.9881656804733728
1.0,1.0
1.0,1.0
0.9686391926502761,0.9815950920245399
0.9008411840084765,0.9420289855072463
1.0,1.0
0.8903812130721936,0.9259259259259259
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9113509796667689,0.9459459459459459
0.9516433313522539,0.9719626168224299
1.0,1.0
0.9406451993027369,0.9620253164556962
0.971500344915838,0.9832402234636871
0.9678317907712601,0.9811320754716981
1.0,1.0
1.0,1.0
0.9625248317849852,0.9781021897810219
0.9309617427058549,0.959731543624161
1.0,1.0
0.9581282631934457,0.975609756097561
1.0,1.0
1.0,1.0
1.0,1.0
0.9496952283401919,0.970873786407767
0.9574144657807024,0.9752066115702479
1.0,1.0
0.940028651976138,0.9655172413793104
0.9630786123683069,0.9784172661870504
0.9594863506034305,0.9763779527559056
1.0,1.0
0.9619541754104973,0.9777777777777777
0.9641384561775734,0.9790209790209791
1.0,1.0
1.0,1.0
0.9697770291819574,0.9822485207100592
0.9534460356445505,0.972972972972973
1.0,1.0
0.9686391926502761,0.9815950920245399
1.0,1.0
1.0,1.0
0.9061874434879645,0.9473684210526315
1.0,1.0
0.9665395661812441,0.9803921568627451
1.0,1.0
1.0,1.0
1.0,1.0
0.9646458712936792,0.9793103448275862
0.9574144657807024,0.9752066115702479
1.0,1.0
1.0,1.0
1.0,1.0
0.9594863506034305,0.9763779527559056
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9581282631934457,0.975609756097561
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9883020812488335,0.9884393063583815
1.0,1.0
0.9588185089507728,0.976
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9452861848260063,0.968421052631579
0.948661035297062,0.9702970297029703
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.933651069586263,0.9620253164556962
1.0,1.0
1.0,1.0
0.954297861697201,0.9734513274336283
1.0,1.0
0.9559112197162899,0.9743589743589743
0.948661035297062,0.9702970297029703
0.9582983561855744,0.9707602339181286
1.0,1.0
1.0,1.0
0.9751797570884221,0.9853658536585366
0.9701381722705915,0.9824561403508771
1.0,1.0
