簡體字,正體字,非對稱簡繁字
低,['低'],False
劬,['劬'],False
吹,['吹'],False
伶,['伶'],False
匣,['匣'],False
吻,['吻'],False
余,"['余', '餘']",True
即,['即'],False
吸,['吸'],False
佝,['佝'],False
卵,['卵'],False
吮,['吮'],False
兑,['兌'],False
吝,['吝'],False
吵,['吵'],False
克,"['克', '剋']",True
吭,['吭'],False
吶,['吶'],False
兕,['兕'],False
吞,['吞'],False
吠,['吠'],False
免,['免'],False
吾,['吾'],False
吼,['吼'],False
兵,['兵'],False
否,['否'],False
呀,['呀'],False
冶,['冶'],False
呎,['呎'],False
吱,['吱'],False
冷,['冷'],False
吧,['吧'],False
含,['含'],False
吟,['吟'],False
妣,['妣'],False
岐,['岐'],False
囱,['囪'],False
妙,['妙'],False
岑,['岑'],False
困,"['困', '睏']",True
妖,['妖'],False
岔,['岔'],False
囤,['囤'],False
妍,['妍'],False
岌,['岌'],False
坊,['坊'],False
妤,['妤'],False
巫,['巫'],False
坑,['坑'],False
妓,['妓'],False
希,['希'],False
址,['址'],False
妊,['妊'],False
序,['序'],False
坍,['坍'],False
妥,['妥'],False
庇,['庇'],False
均,['均'],False
孝,['孝'],False
床,['床'],False
坎,['坎'],False
孜,['孜'],False
廷,['廷'],False
圾,['圾'],False
孚,['孚'],False
弄,['弄'],False
坐,['坐'],False
完,['完'],False
弟,['弟'],False
坏,"['坏', '壞']",True
宋,['宋'],False
彤,['彤'],False
壮,['壯'],False
宏,['宏'],False
形,['形'],False
夹,['夾'],False
尬,['尬'],False
彷,"['彷', '徬']",True
妆,['妝'],False
局,"['局', '跼']",True
役,['役'],False
妒,['妒'],False
屁,['屁'],False
忘,['忘'],False
妨,['妨'],False
尿,['尿'],False
忌,['忌'],False
妞,['妞'],False
尾,['尾'],False
志,"['志', '誌']",True
忍,['忍'],False
折,"['折', '摺']",True
每,['每'],False
忱,['忱'],False
扮,['扮'],False
求,['求'],False
快,['快'],False
投,['投'],False
汞,['汞'],False
戒,['戒'],False
抓,['抓'],False
沙,['沙'],False
我,['我'],False
抑,['抑'],False
沁,['沁'],False
抄,['抄'],False
改,['改'],False
沈,"['沈', '瀋']",True
抗,['抗'],False
攻,['攻'],False
沉,['沉'],False
抖,['抖'],False
旱,['旱'],False
沅,['沅'],False
技,['技'],False
更,['更'],False
沛,['沛'],False
扶,['扶'],False
束,['束'],False
汪,['汪'],False
抉,['抉'],False
李,['李'],False
决,['決'],False
扭,['扭'],False
杏,['杏'],False
沐,['沐'],False
把,['把'],False
材,['材'],False
汰,['汰'],False
扼,['扼'],False
村,['村'],False
沌,['沌'],False
找,['找'],False
杜,['杜'],False
汨,['汨'],False
批,['批'],False
杖,['杖'],False
冲,"['沖', '衝']",True
扳,['扳'],False
杞,['杞'],False
没,['沒'],False
抒,['抒'],False
杉,['杉'],False
汽,['汽'],False
扯,['扯'],False
步,['步'],False
沃,['沃'],False
汲,['汲'],False
私,['私'],False
言,['言'],False
汾,['汾'],False
秀,['秀'],False
谷,"['谷', '穀']",True
灶,['灶'],False
秃,['禿'],False
豆,['豆'],False
灼,['灼'],False
究,['究'],False
豕,['豕'],False
灾,['災'],False
系,"['系', '係', '繫']",True
贝,['貝'],False
灸,['灸'],False
罕,['罕'],False
赤,['赤'],False
牢,['牢'],False
肖,['肖'],False
走,['走'],False
牡,['牡'],False
肓,['肓'],False
足,['足'],False
牠,['牠'],False
肝,['肝'],False
身,['身'],False
狄,['狄'],False
肘,['肘'],False
车,['車'],False
狂,['狂'],False
肛,['肛'],False
辛,['辛'],False
玖,['玖'],False
肚,['肚'],False
辰,['辰'],False
甬,['甬'],False
育,['育'],False
迂,['迂'],False
甫,['甫'],False
良,['良'],False
迤,['迆'],False
男,['男'],False
芒,['芒'],False
迅,['迅'],False
甸,['甸'],False
芋,['芋'],False
迄,['迄'],False
皂,['皂'],False
芍,['芍'],False
巡,['巡'],False
盯,['盯'],False
见,['見'],False
邑,['邑'],False
矣,['矣'],False
角,['角'],False
邢,['邢'],False
邪,['邪'],False
依,['依'],False
两,['兩'],False
邦,['邦'],False
侍,['侍'],False
具,['具'],False
那,['那'],False
佳,['佳'],False
其,['其'],False
酉,['酉'],False
使,['使'],False
典,['典'],False
里,"['里', '裡']",True
佬,['佬'],False
冽,['冽'],False
防,['防'],False
供,['供'],False
函,['函'],False
阮,['阮'],False
例,['例'],False
刻,['刻'],False
阱,['阱'],False
来,['來'],False
券,['券'],False
阪,['阪'],False
侃,['侃'],False
刷,['刷'],False
佰,['佰'],False
刺,['刺'],False
到,['到'],False
乖,['乖'],False
侈,['侈'],False
刮,"['刮', '颳']",True
乳,['乳'],False
佩,"['佩', '珮']",True
制,"['制', '製']",True
事,['事'],False
佻,['佻'],False
剁,['剁'],False
些,['些'],False
仑,"['侖', '崙']",True
劾,['劾'],False
亚,['亞'],False
佾,['佾'],False
卒,['卒'],False
享,['享'],False
侏,['侏'],False
协,['協'],False
京,['京'],False
兔,['兔'],False
卓,['卓'],False
佯,['佯'],False
儿,['兒'],False
卑,['卑'],False
卦,['卦'],False
咐,['咐'],False
夜,['夜'],False
卷,"['卷', '捲']",True
呱,['呱'],False
奉,['奉'],False
卸,['卸'],False
呶,['呶'],False
奇,['奇'],False
恤,"['卹', '恤']",True
和,['和'],False
奈,['奈'],False
取,['取'],False
咚,['咚'],False
奄,['奄'],False
叔,['叔'],False
呢,['呢'],False
奔,['奔'],False
受,['受'],False
周,"['周', '週']",True
妾,['妾'],False
味,['味'],False
咋,['咋'],False
妻,['妻'],False
呵,['呵'],False
命,['命'],False
委,['委'],False
咖,['咖'],False
咎,['咎'],False
妹,['妹'],False
呸,['呸'],False
固,['固'],False
妮,['妮'],False
咕,['咕'],False
垃,['垃'],False
姑,['姑'],False
咀,['咀'],False
坷,['坷'],False
姆,['姆'],False
呻,['呻'],False
坪,['坪'],False
姐,['姐'],False
呷,['呷'],False
坩,['坩'],False
姗,['姍'],False
咄,['咄'],False
坡,['坡'],False
始,['始'],False
咒,['咒'],False
坦,['坦'],False
姓,['姓'],False
咆,['咆'],False
坤,['坤'],False
姊,['姊'],False
呼,['呼'],False
坼,['坼'],False
妯,['妯'],False
妳,['妳'],False
岫,['岫'],False
往,['往'],False
姒,['姒'],False
岱,['岱'],False
征,"['征', '徵']",True
孟,['孟'],False
岳,"['岳', '嶽']",True
孤,['孤'],False
帘,"['帘', '簾']",True
彼,['彼'],False
季,['季'],False
帚,['帚'],False
忝,['忝'],False
宗,['宗'],False
帖,['帖'],False
忠,['忠'],False
定,['定'],False
帕,['帕'],False
忽,['忽'],False
官,['官'],False
帛,['帛'],False
念,"['念', '唸']",True
宜,['宜'],False
帑,['帑'],False
忿,['忿'],False
宙,['宙'],False
幸,"['幸', '倖']",True
怏,['怏'],False
宛,['宛'],False
庚,['庚'],False
怔,['怔'],False
尚,['尚'],False
店,['店'],False
怯,['怯'],False
屈,['屈'],False
府,['府'],False
怵,['怵'],False
居,['居'],False
底,['底'],False
怖,['怖'],False
届,['屆'],False
庖,['庖'],False
怪,['怪'],False
岷,['岷'],False
延,['延'],False
怕,['怕'],False
冈,['岡'],False
弦,"['弦', '絃']",True
怡,['怡'],False
岸,['岸'],False
弧,['弧'],False
性,['性'],False
岩,"['岩', '巖']",True
弩,['弩'],False
或,['或'],False
戕,['戕'],False
抽,['抽'],False
昔,['昔'],False
房,['房'],False
押,['押'],False
易,['易'],False
戾,['戾'],False
拐,"['拐', '枴']",True
昌,['昌'],False
所,['所'],False
拙,['拙'],False
昆,"['昆', '崑']",True
承,['承'],False
拇,['拇'],False
昂,['昂'],False
拉,['拉'],False
拍,['拍'],False
明,['明'],False
拌,['拌'],False
抵,"['抵', '牴']",True
昀,['昀'],False
拄,['拄'],False
拚,['拚'],False
昏,['昏'],False
抿,['抿'],False
抱,['抱'],False
服,['服'],False
拂,['拂'],False
拘,['拘'],False
朋,['朋'],False
抹,['抹'],False
拖,['拖'],False
杭,['杭'],False
拒,['拒'],False
拗,['拗'],False
枋,['枋'],False
招,['招'],False
拆,['拆'],False
枕,['枕'],False
披,['披'],False
抬,['抬'],False
东,['東'],False
拓,['拓'],False
拎,['拎'],False
果,['果'],False
拔,['拔'],False
放,['放'],False
杳,['杳'],False
抛,['拋'],False
斧,['斧'],False
杷,['杷'],False
拈,['拈'],False
於,['於'],False
枇,['枇'],False
抨,['抨'],False
旺,['旺'],False
枝,['枝'],False
林,['林'],False
沱,['沱'],False
沿,['沿'],False
杯,"['杯', '盃']",True
泌,['泌'],False
治,['治'],False
杰,"['杰', '傑']",True
泥,['泥'],False
泡,['泡'],False
板,"['板', '闆']",True
河,['河'],False
枉,['枉'],False
沽,['沽'],False
泊,['泊'],False
松,"['松', '鬆']",True
沾,"['沾', '霑']",True
炕,['炕'],False
析,['析'],False
沼,['沼'],False
炎,['炎'],False
杵,['杵'],False
波,['波'],False
炒,['炒'],False
枚,['枚'],False
沫,['沫'],False
炊,['炊'],False
欣,['欣'],False
法,['法'],False
炙,['炙'],False
武,['武'],False
泓,['泓'],False
爬,['爬'],False
歧,['歧'],False
沸,['沸'],False
争,['爭'],False
殁,['歿'],False
泄,['泄'],False
爸,['爸'],False
毒,['毒'],False
油,['油'],False
版,['版'],False
氓,['氓'],False
况,['況'],False
牧,['牧'],False
氛,['氛'],False
沮,['沮'],False
物,['物'],False
泣,['泣'],False
泗,['泗'],False
状,['狀'],False
注,"['注', '註']",True
泅,['泅'],False
狎,['狎'],False
泳,['泳'],False
泱,['泱'],False
狙,['狙'],False
狗,['狗'],False
秉,['秉'],False
卧,['臥'],False
狐,['狐'],False
空,['空'],False
臾,['臾'],False
玩,['玩'],False
穹,['穹'],False
舍,"['舍', '捨']",True
珏,['玨'],False
竺,['竺'],False
芳,['芳'],False
玟,['玟'],False
纠,['糾'],False
芝,['芝'],False
玫,['玫'],False
罔,['罔'],False
芙,['芙'],False
甽,['甽'],False
羌,['羌'],False
芭,['芭'],False
疝,['疝'],False
芈,['羋'],False
芽,['芽'],False
疙,['疙'],False
者,['者'],False
芟,['芟'],False
疚,['疚'],False
肺,['肺'],False
芹,['芹'],False
的,['的'],False
肥,['肥'],False
花,['花'],False
盂,['盂'],False
肢,['肢'],False
芬,['芬'],False
盲,['盲'],False
肱,['肱'],False
芥,['芥'],False
直,['直'],False
股,['股'],False
虎,['虎'],False
知,['知'],False
肫,['肫'],False
虱,"['虱', '蝨']",True
矽,['矽'],False
肩,['肩'],False
初,['初'],False
社,['社'],False
肴,['肴'],False
表,"['表', '錶']",True
祀,['祀'],False
肪,['肪'],False
轧,['軋'],False
祁,['祁'],False
肯,['肯'],False
迎,['迎'],False
返,['返'],False
亭,['亭'],False
近,['近'],False
亮,['亮'],False
俚,['俚'],False
邵,['邵'],False
信,['信'],False
俎,['俎'],False
邸,['邸'],False
侵,['侵'],False
俞,['俞'],False
邱,['邱'],False
侯,['侯'],False
兖,['兗'],False
采,"['采', '採']",True
便,['便'],False
冒,['冒'],False
金,['金'],False
侠,['俠'],False
冑,['冑'],False
长,['長'],False
俑,['俑'],False
冠,['冠'],False
门,['門'],False
俏,['俏'],False
剎,['剎'],False
阜,['阜'],False
保,['保'],False
剃,['剃'],False
陀,['陀'],False
促,['促'],False
削,['削'],False
阿,['阿'],False
侣,['侶'],False
前,['前'],False
阻,['阻'],False
俘,['俘'],False
